name,region,party,turnout,total,LIB,CON,NDP,BQ,GRN,PPC,IND
Banff—Airdrie,AB,CON,0.731,78080,8425,55504,8185,,3315,2651,
Battle River—Crowfoot,AB,CON,0.773,62360,2557,53309,3185,,1689,1620,
Bow River,AB,CON,0.701,55138,3173,46279,3086,,826,1321,
Calgary Centre,AB,CON,0.694,65864,17771,37306,6516,,2853,907,138
Calgary Confederation,AB,CON,0.722,65892,14908,36312,7312,,5700,1136,
Calgary Forest Lawn,AB,CON,0.535,39964,8690,23805,4227,,1318,1089,388
Calgary Heritage,AB,CON,0.709,57715,8057,40817,5278,,2027,1123,228
Calgary Midnapore,AB,CON,0.732,68088,7507,50559,6445,,1992,1585,
Calgary Nose Hill,AB,CON,0.669,55309,8703,38588,5304,,1554,1089,
Calgary Rocky Ridge,AB,CON,0.723,70650,13012,48253,6051,,2011,1053,270
Calgary Shepard,AB,CON,0.702,78140,8644,58614,6828,,2345,1709,
Calgary Signal Hill,AB,CON,0.721,63478,9722,44421,5355,,2139,1130,
Calgary Skyview,AB,CON,0.607,50552,14327,26533,7540,,800,603,
Edmonton Centre,AB,CON,0.654,53092,17524,22006,10959,,1394,805,119
Edmonton Griesbach,AB,CON,0.575,46963,8100,24120,11800,,1189,1074,216
Edmonton Manning,AB,CON,0.615,54380,11692,30425,9555,,1255,1109,
Edmonton Mill Woods,AB,CON,0.69,53177,17879,26736,6422,,968,953,
Edmonton Riverbend,AB,CON,0.71,61148,14038,35126,9332,,1797,855,
Edmonton Strathcona,AB,NDP,0.737,56745,6592,21035,26823,,1152,941,
Edmonton West,AB,CON,0.666,58635,11812,35719,8537,,1441,1126,
Edmonton—Wetaskiwin,AB,CON,0.714,87455,10802,63346,9820,,1660,1616,
Foothills,AB,CON,0.766,65591,3856,53872,3767,,2398,1698,
Fort McMurray—Cold Lake,AB,CON,0.656,50976,4848,40706,2883,,865,1674,
Grande Prairie—Mackenzie,AB,CON,0.724,60979,2910,51198,4245,,1134,1492,
Lakeland,AB,CON,0.736,57578,2565,48314,3728,,1105,1468,
Lethbridge,AB,CON,0.705,61882,8443,40713,9110,,1939,1007,
Medicine Hat—Cardston—Warner,AB,CON,0.681,53102,3528,42045,4639,,1203,1350,337
Peace River—Westlock,AB,CON,0.704,51649,3148,41659,3886,,1377,1579,
Red Deer—Lacombe,AB,CON,0.728,67444,3540,53843,6012,,1596,2453,
Red Deer—Mountain View,AB,CON,0.768,68169,3795,54765,4946,,2026,2637,
Sherwood Park—Fort Saskatchewan,AB,CON,0.77,73050,7357,53600,8867,,1592,1334,
St. Albert—Edmonton,AB,CON,0.707,65091,12477,39506,9895,,1594,1268,
Sturgeon River—Parkland,AB,CON,0.742,68657,4696,53235,6940,,1745,1625,
Yellowhead,AB,CON,0.762,55968,2912,45964,3898,,1272,1592,
Abbotsford,BC,CON,0.659,48936,10560,25162,8257,,3702,985,
Burnaby North—Seymour,BC,LIB,0.654,50059,17770,9734,16185,,4801,1079,271
Burnaby South,BC,NDP,0.569,45006,10706,13914,16956,,2477,645,
Cariboo—Prince George,BC,CON,0.655,54774,10932,28848,8440,,4998,1206,350
Central Okanagan—Similkameen—Nicola,BC,CON,0.692,64935,16252,31135,10904,,5086,1345,
Chilliwack—Hope,BC,CON,0.657,53755,10848,26672,8957,,5243,1760,
Cloverdale—Langley City,BC,CON,0.65,55488,19542,20936,10508,,3572,930,
Coquitlam—Port Coquitlam,BC,LIB,0.637,58175,20178,19788,13383,,4025,703,
Courtenay—Alberni,BC,NDP,0.723,72280,8620,23936,29790,,9762,,
Cowichan—Malahat—Langford,BC,NDP,0.707,65228,10301,16959,23519,,13181,1066,
Delta,BC,LIB,0.707,53976,22257,17809,8792,,3387,948,783
Esquimalt—Saanich—Sooke,BC,NDP,0.709,70125,12554,13409,23887,,18506,1089,282
Fleetwood—Port Kells,BC,LIB,0.615,49242,18545,16646,10569,,2378,1104,
Kamloops—Thompson—Cariboo,BC,CON,0.708,72453,19716,32415,9936,,8789,1132,
Kelowna—Lake Country,BC,CON,0.694,69120,22627,31497,8381,,5171,1225,219
Kootenay—Columbia,BC,CON,0.738,67330,6151,30168,23149,,6145,1378,
Langley—Aldergrove,BC,CON,0.689,63452,16254,29823,10690,,4881,1305,
Mission—Matsqui—Fraser Canyon,BC,CON,0.672,46066,12299,19535,8089,,5019,1055,
Nanaimo—Ladysmith,BC,GRN,0.695,71864,9735,18634,16985,,24844,1049,306
New Westminster—Burnaby,BC,NDP,0.623,52977,12414,11439,23437,,4378,862,83
North Island—Powell River,BC,NDP,0.706,62915,8251,20502,23834,,8891,1102,287
North Okanagan—Shuswap,BC,CON,0.7,74145,16783,36154,11353,,7828,2027,
North Vancouver,BC,LIB,0.717,62930,26979,16908,10340,,7868,835,
Pitt Meadows—Maple Ridge,BC,CON,0.682,54231,16125,19650,12958,,4332,698,468
Port Moody—Coquitlam,BC,CON,0.664,54003,15695,16855,16702,,3873,821,
Prince George—Peace River—Northern Rockies,BC,CON,0.698,55129,6391,38473,5069,,3448,1748,
Richmond Centre,BC,CON,0.534,38817,11052,19037,5617,,2376,538,197
Saanich—Gulf Islands,BC,GRN,0.755,68150,11326,13784,8657,,33454,929,
Skeena—Bulkley Valley,BC,NDP,0.627,41384,4793,13756,16944,,3280,940,321
South Okanagan—West Kootenay,BC,NDP,0.696,68196,11705,24013,24809,,5672,1638,359
South Surrey—White Rock,BC,CON,0.696,58028,21692,24310,6716,,4458,852,
Steveston—Richmond East,BC,CON,0.574,41951,14731,17478,6321,,2972,,449
Surrey Centre,BC,LIB,0.549,41319,15453,10505,11353,,2558,709,243
Surrey—Newton,BC,LIB,0.634,42098,18960,8824,12306,,1355,653,
Vancouver Centre,BC,LIB,0.615,55946,23599,10782,13280,,7002,724,180
Vancouver East,BC,NDP,0.611,55611,10085,6724,29236,,8062,679,
Vancouver Granville,BC,IND,0.65,53032,14088,11605,6960,,2683,431,17265
Vancouver Kingsway,BC,NDP,0.594,44163,10194,8804,21680,,2675,427,
Vancouver Quadra,BC,LIB,0.68,50754,22093,14082,7681,,6308,428,162
Vancouver South,BC,LIB,0.589,43194,17808,14388,8015,,2451,532,
Victoria,BC,NDP,0.735,71549,15952,9038,23765,,21383,920,111
West Vancouver—Sunshine Coast—Sea to Sky Country,BC,LIB,0.691,64980,22673,17359,9027,,14579,1010,159
Brandon—Souris,MB,CON,0.664,41206,4972,26148,5805,,2984,691,326
Charleswood—St. James—Assiniboia—Headingley,MB,CON,0.711,46228,16398,18815,6556,,2178,1975,140
Churchill—Keewatinook Aski,MB,NDP,0.488,23687,5616,4714,11919,,1144,294,
Dauphin—Swan River—Neepawa,MB,CON,0.662,40566,5344,26103,5724,,2214,711,
Elmwood—Transcona,MB,NDP,0.628,43364,5346,16240,19786,,1480,512,
Kildonan—St. Paul,MB,CON,0.677,44298,12356,19856,9387,,1777,510,108
Portage—Lisgar,MB,CON,0.685,44636,4779,31600,3872,,2356,1169,
Provencher,MB,CON,0.705,48305,6347,31821,6187,,2884,1066,
Saint Boniface—Saint Vital,MB,LIB,0.699,47338,20300,15436,8037,,2671,591,303
Selkirk—Interlake—Eastman,MB,CON,0.687,49602,6003,31109,8873,,2934,683,
Winnipeg Centre,MB,NDP,0.542,31724,10704,5561,13073,,1661,474,
Winnipeg North,MB,LIB,0.524,32735,15581,6820,8469,,905,324,231
Winnipeg South,MB,LIB,0.699,47889,20182,18537,6678,,2073,419,
Winnipeg South Centre,MB,LIB,0.716,50661,22799,15051,8965,,3173,569,
Acadie—Bathurst,NB,LIB,0.735,48143,26547,10352,6967,,4277,,
Beauséjour,NB,LIB,0.78,53685,24948,9438,3940,,14305,1054,
Fredericton,NB,GRN,0.755,49409,13544,15011,2946,,16640,776,
Fundy Royal,NB,CON,0.754,48646,12433,22389,4804,,7275,1249,295
Madawaska—Restigouche,NB,LIB,0.694,34469,17331,9801,2212,,5125,,
Miramichi—Grand Lake,NB,LIB,0.728,34598,12722,12352,2875,,3914,1179,1556
Moncton—Riverview—Dieppe,NB,LIB,0.7,51828,22261,12200,6164,,9287,1258,
New Brunswick Southwest,NB,CON,0.745,39578,10110,19451,3251,,5352,1214,
Saint John—Rothesay,NB,LIB,0.655,41253,15443,14006,5046,,4165,1260,1333
Tobique—Mactaquac,NB,CON,0.7,38201,9631,19229,3007,,5398,936,
Avalon,NL,LIB,0.604,41334,19122,12855,7142,,2215,,
Bonavista—Burin—Trinity,NL,LIB,0.558,32179,14707,12697,3855,,920,,
Coast of Bays—Central—Notre Dame,NL,LIB,0.556,34182,16514,12081,4224,,1363,,
Labrador,NL,LIB,0.577,11419,4851,3548,2796,,224,,
Long Range Mountains,NL,LIB,0.562,38426,18199,10873,7609,,1334,,
St. John's East,NL,NDP,0.69,45072,14962,8141,21148,,821,,
St. John's South—Mount Pearl,NL,LIB,0.614,40666,20793,7767,10890,,740,335,
Cape Breton—Canso,NS,LIB,0.721,42940,16694,14821,6354,,3321,925,685
Central Nova,NS,LIB,0.745,44470,20718,13201,5806,,3478,938,149
Cumberland—Colchester,NS,LIB,0.689,45450,16672,16219,5451,,6015,608,232
Dartmouth—Cole Harbour,NS,LIB,0.7,53499,24259,8638,14435,,5280,887,
Halifax,NS,LIB,0.75,55752,23681,6456,16747,,8013,633,
Halifax West,NS,LIB,0.711,54357,26885,10488,10429,,6555,,
Kings—Hants,NS,LIB,0.695,48036,20806,11905,8254,,6029,786,
Sackville—Preston—Chezzetcook,NS,LIB,0.698,49537,19925,11211,11860,,5725,816,
South Shore—St. Margarets,NS,LIB,0.677,52518,21886,14744,8361,,6070,667,541
Sydney—Victoria,NS,LIB,0.684,40565,12536,11227,8146,,2249,,6159
West Nova,NS,CON,0.677,46798,17025,18390,5010,,5939,,
Ajax,ON,LIB,0.663,61020,35198,15864,7033,,2040,588,297
Algoma—Manitoulin—Kapuskasing,ON,NDP,0.626,40591,9879,10625,16883,,2192,887,
Aurora—Oak Ridges—Richmond Hill,ON,CON,0.644,53109,22508,23568,3820,,2154,530,
Barrie—Innisfil,ON,CON,0.63,54253,15879,23765,8880,,4716,1013,
Barrie—Springwater—Oro-Medonte,ON,CON,0.669,53793,16805,20981,7972,,7066,969,
Bay of Quinte,ON,LIB,0.661,61547,24099,22650,9851,,3740,1207,
Beaches—East York,ON,LIB,0.709,57078,32647,8026,12196,,3378,831,
Brampton Centre,ON,LIB,0.598,39758,18771,10696,7819,,1685,681,
Brampton East,ON,LIB,0.664,50753,24050,12125,13368,,666,244,211
Brampton North,ON,LIB,0.659,50502,25970,13973,8533,,1516,510,
Brampton South,ON,LIB,0.628,48683,24085,13828,7985,,1926,354,
Brampton West,ON,LIB,0.626,53683,28743,12824,9855,,1271,505,
Brantford—Brant,ON,CON,0.622,66666,20454,26849,13131,,4257,1320,261
Bruce—Grey—Owen Sound,ON,CON,0.656,58161,17485,26830,6797,,5114,1614,
Burlington,ON,LIB,0.726,71985,34989,23930,7372,,4750,944,
Cambridge,ON,LIB,0.649,57942,22903,17409,11177,,4343,1872,
Carleton,ON,CON,0.795,69359,26518,32147,6479,,3423,792,
Chatham-Kent—Leamington,ON,CON,0.633,54088,16899,25359,8229,,2233,1061,
Davenport,ON,LIB,0.671,53180,23251,4921,21812,,2397,496,165
Don Valley East,ON,LIB,0.498,42294,25295,10115,4647,,1675,562,
Don Valley North,ON,LIB,0.62,46571,23495,16506,4285,,1803,482,
Don Valley West,ON,LIB,0.715,52234,29148,16304,3804,,2257,444,
Dufferin—Caledon,ON,CON,0.651,68616,22645,28852,7981,,7303,1516,
Durham,ON,CON,0.685,73014,23547,30752,13323,,3950,1442,
Eglinton—Lawrence,ON,LIB,0.681,56004,29850,18549,4741,,2278,586,
Elgin—Middlesex—London,ON,CON,0.667,61754,14324,31026,11019,,3562,956,
Essex,ON,CON,0.673,68288,12987,28274,23603,,2173,1251,
Etobicoke Centre,ON,LIB,0.695,63219,32800,21804,4881,,2775,664,
Etobicoke North,ON,LIB,0.588,42946,26388,9524,4654,,1080,1196,
Etobicoke—Lakeshore,ON,LIB,0.68,69515,36061,19952,8277,,4141,921,
Flamborough—Glanbrook,ON,CON,0.705,62539,22875,24527,10322,,3833,982,
Glengarry—Prescott—Russell,ON,LIB,0.722,65791,31293,23660,6851,,2113,1174,239
Guelph,ON,LIB,0.723,75568,30497,14568,9297,,19236,1087,219
Haldimand—Norfolk,ON,CON,0.663,59926,14704,28018,9192,,4878,1234,
Haliburton—Kawartha Lakes—Brock,ON,CON,0.669,65760,17067,32257,9676,,5515,1245,
Hamilton Centre,ON,NDP,0.603,44122,12651,6341,20368,,3370,833,377
Hamilton East—Stoney Creek,ON,LIB,0.622,52146,20112,13130,14930,,2902,1072,
Hamilton Mountain,ON,NDP,0.66,52949,16057,13443,19135,,3115,760,
Hamilton West—Ancaster—Dundas,ON,LIB,0.746,64901,30214,17340,11527,,4770,894,
Hastings—Lennox and Addington,ON,CON,0.667,53094,19721,21968,6984,,3114,1307,
Humber River—Black Creek,ON,LIB,0.568,37958,23187,6164,7198,,804,402,
Huron—Bruce,ON,CON,0.711,60867,20167,29512,7421,,2665,1102,
Kanata—Carleton,ON,LIB,0.774,66772,28746,24361,8317,,4387,961,
Kenora,ON,CON,0.614,27787,8335,9445,7923,,1526,388,170
